,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49
C35,19.0,60.0,inf,99.0,70.0,30.0,46.0,85.0,50.0,62.0,48.0,29.0,86.0,30.0,17.0,98.0,inf,83.0,28.0,78.0,95.0,88.0,69.0,66.0,43.0,72.0,49.0,60.0,42.0,77.0,18.0,72.0,39.0,50.0,44.0,0.0,40.0,inf,11.0,38.0,108.0,47.0,40.0,112.0,90.0,39.0,71.0,29.0,89.0,84.0
C36,83.0,10.0,62.0,50.0,91.0,74.0,48.0,77.0,inf,31.0,48.0,20.0,51.0,43.0,90.0,19.0,89.0,65.0,55.0,56.0,inf,92.0,73.0,57.0,26.0,69.0,32.0,14.0,64.0,inf,66.0,24.0,20.0,70.0,94.0,41.0,0.0,70.0,31.0,49.0,78.0,100.0,47.0,81.0,37.0,inf,inf,71.0,79.0,60.0
C37,103.0,77.0,102.0,inf,22.0,21.0,35.0,inf,34.0,87.0,42.0,54.0,40.0,82.0,20.0,67.0,50.0,17.0,39.0,70.0,105.0,inf,56.0,96.0,94.0,94.0,28.0,13.0,86.0,60.0,55.0,46.0,97.0,49.0,41.0,87.0,82.0,0.0,inf,39.0,inf,69.0,inf,35.0,23.0,41.0,39.0,34.0,89.0,49.0
C38,25.0,81.0,11.0,24.0,inf,35.0,99.0,19.0,80.0,45.0,62.0,101.0,39.0,13.0,inf,inf,20.0,59.0,97.0,100.0,55.0,84.0,61.0,87.0,68.0,105.0,15.0,73.0,34.0,106.0,36.0,109.0,10.0,79.0,32.0,7.0,35.0,22.0,0.0,42.0,66.0,62.0,93.0,42.0,79.0,104.0,15.0,49.0,74.0,68.0
C39,63.0,44.0,inf,39.0,35.0,67.0,46.0,inf,88.0,28.0,95.0,20.0,41.0,88.0,36.0,42.0,107.0,22.0,73.0,17.0,53.0,94.0,103.0,74.0,54.0,103.0,85.0,99.0,44.0,39.0,32.0,98.0,43.0,36.0,20.0,27.0,36.0,32.0,44.0,0.0,54.0,16.0,48.0,62.0,78.0,70.0,72.0,44.0,27.0,23.0
C40,30.0,100.0,32.0,12.0,78.0,27.0,66.0,82.0,15.0,46.0,62.0,81.0,86.0,97.0,26.0,12.0,96.0,92.0,31.0,111.0,91.0,37.0,85.0,31.0,62.0,74.0,85.0,90.0,72.0,86.0,inf,inf,50.0,inf,inf,98.0,83.0,81.0,70.0,41.0,0.0,112.0,47.0,26.0,26.0,78.0,29.0,78.0,19.0,44.0
C41,58.0,38.0,78.0,23.0,41.0,10.0,22.0,80.0,100.0,90.0,46.0,48.0,92.0,24.0,99.0,56.0,81.0,60.0,75.0,44.0,29.0,74.0,110.0,99.0,88.0,38.0,86.0,49.0,68.0,70.0,45.0,48.0,44.0,inf,56.0,37.0,96.0,66.0,61.0,inf,101.0,0.0,35.0,83.0,42.0,40.0,68.0,51.0,109.0,47.0
C42,55.0,95.0,72.0,89.0,84.0,16.0,12.0,75.0,87.0,45.0,52.0,28.0,45.0,34.0,75.0,66.0,52.0,8.0,21.0,73.0,47.0,52.0,36.0,89.0,78.0,97.0,89.0,66.0,inf,75.0,92.0,82.0,32.0,91.0,64.0,39.0,52.0,62.0,95.0,38.0,53.0,41.0,0.0,88.0,101.0,82.0,47.0,18.0,93.0,103.0
C43,36.0,inf,76.0,39.0,55.0,96.0,20.0,53.0,57.0,45.0,79.0,92.0,82.0,inf,58.0,62.0,32.0,49.0,92.0,107.0,67.0,83.0,18.0,74.0,inf,91.0,97.0,70.0,92.0,63.0,inf,17.0,108.0,106.0,85.0,105.0,88.0,35.0,45.0,48.0,26.0,73.0,74.0,0.0,60.0,92.0,56.0,inf,inf,62.0
C44,45.0,88.0,70.0,66.0,67.0,67.0,75.0,10.0,42.0,51.0,78.0,55.0,65.0,83.0,90.0,25.0,97.0,45.0,inf,97.0,68.0,34.0,28.0,44.0,44.0,43.0,42.0,54.0,48.0,87.0,88.0,inf,95.0,37.0,65.0,90.0,26.0,25.0,inf,76.0,15.0,38.0,96.0,64.0,0.0,99.0,47.0,inf,113.0,24.0
C45,25.0,15.0,22.0,12.0,29.0,68.0,107.0,42.0,64.0,93.0,27.0,17.0,62.0,79.0,61.0,72.0,43.0,93.0,98.0,38.0,29.0,92.0,91.0,78.0,85.0,71.0,68.0,79.0,31.0,inf,33.0,72.0,90.0,inf,22.0,25.0,21.0,32.0,99.0,69.0,97.0,85.0,87.0,92.0,109.0,0.0,25.0,65.0,78.0,89.0
C46,78.0,20.0,46.0,36.0,37.0,inf,65.0,77.0,72.0,102.0,27.0,38.0,25.0,107.0,inf,94.0,80.0,81.0,34.0,62.0,57.0,48.0,30.0,inf,22.0,58.0,inf,67.0,84.0,71.0,15.0,10.0,58.0,14.0,69.0,78.0,45.0,inf,14.0,85.0,23.0,64.0,47.0,62.0,inf,35.0,0.0,10.0,70.0,83.0
C47,11.0,77.0,91.0,74.0,83.0,78.0,16.0,97.0,72.0,54.0,57.0,29.0,50.0,92.0,66.0,33.0,26.0,54.0,75.0,38.0,34.0,79.0,95.0,38.0,41.0,86.0,77.0,61.0,34.0,65.0,29.0,89.0,47.0,86.0,97.0,27.0,67.0,24.0,42.0,51.0,68.0,49.0,19.0,98.0,20.0,71.0,72.0,0.0,32.0,54.0
C48,54.0,18.0,53.0,91.0,111.0,85.0,47.0,94.0,88.0,64.0,inf,inf,50.0,89.0,inf,30.0,17.0,34.0,22.0,93.0,70.0,72.0,43.0,24.0,35.0,89.0,61.0,46.0,106.0,13.0,inf,49.0,65.0,63.0,12.0,70.0,69.0,82.0,74.0,25.0,inf,95.0,92.0,inf,inf,91.0,70.0,58.0,0.0,22.0
C49,67.0,74.0,49.0,73.0,42.0,23.0,71.0,50.0,104.0,89.0,107.0,15.0,38.0,44.0,28.0,88.0,56.0,88.0,13.0,44.0,18.0,inf,59.0,91.0,96.0,55.0,45.0,74.0,97.0,36.0,41.0,inf,30.0,47.0,52.0,79.0,69.0,36.0,56.0,28.0,51.0,inf,91.0,49.0,16.0,78.0,70.0,56.0,22.0,0.0
